Project Name,Borough,Zipcode,Census Tract,Prevailing Wage Status,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
LAKEVIEW APARTMENTS HDFC.HPO.FY19,Manhattan,10029,17401,Non Prevailing Wage,59,0,59,59
LAKEVIEW APARTMENTS HDFC.HPO.FY19,Manhattan,10029,17401,Non Prevailing Wage,59,0,59,59
LAKEVIEW APARTMENTS HDFC.HPO.FY19,Manhattan,10029,17401,Non Prevailing Wage,164,0,164,164
LAKEVIEW APARTMENTS HDFC.HPO.FY19,Manhattan,10029,17401,Non Prevailing Wage,164,0,164,164
TRIPLE HDFC.HPO.FY19,Manhattan,10029,178,Non Prevailing Wage,8,0,8,8
TRIPLE HDFC.HPO.FY19,Manhattan,10035,188,Non Prevailing Wage,13,0,13,13
TRIPLE HDFC.HPO.FY19,Manhattan,10029,170,Non Prevailing Wage,48,0,48,48
319 GRAHAM AVENUE APARTMENTS,Brooklyn,11211,495,Non Prevailing Wage,3,0,3,10
309 VAN SICLEN AVENUE,Brooklyn,11207,1152,Non Prevailing Wage,3,0,3,8
869 MYRTLE AVENUE,Brooklyn,11206,257,Non Prevailing Wage,0,58,58,59
376 FRANKLIN AVENUE APARTMENTS,Brooklyn,11238,229,Non Prevailing Wage,4,0,4,20
3430 THIRD AVENUE,Bronx,10456,185,Non Prevailing Wage,4,0,4,11
1081 TIFFANY STREET APARTMENTS,Bronx,10459,131,Non Prevailing Wage,8,0,8,26
1520 PROSPECT PLACE APARTMENTS,Brooklyn,11213,347,Non Prevailing Wage,3,0,3,10
209 KENT STREET APARTMENTS,Brooklyn,11222,575,Non Prevailing Wage,3,0,3,10
764 EAST 152ND STREET APARTMENTS,Bronx,10455,73,Non Prevailing Wage,8,0,8,24
216 FREEMAN STREET APARTMENTS,Brooklyn,11222,575,Non Prevailing Wage,9,0,9,30
69-17 38TH AVENUE APARTMENTS,Queens,11377,263,Non Prevailing Wage,2,0,2,8
RUTLAND ROAD APARTMENTS,Brooklyn,11203,87401,Non Prevailing Wage,3,0,3,16
RUTLAND ROAD APARTMENTS,Brooklyn,11203,87401,Non Prevailing Wage,2,0,2,16
SOMERS APARTMENTS,Brooklyn,11233,369,Non Prevailing Wage,4,0,4,24
SOMERS APARTMENTS,Brooklyn,11233,369,Non Prevailing Wage,4,0,4,24
44 KENT STREET APARTMENTS,Brooklyn,11222,565,Non Prevailing Wage,13,0,13,42
1395 NELSON AVENUE APARTMENTS,Bronx,10452,21302,Non Prevailing Wage,6,0,6,17
10-44 JACKSON AVENUE APARTMENTS,Queens,11101,7,Non Prevailing Wage,3,0,3,10
303 WEST 137TH STREET APARTMENTS,Manhattan,10030,22102,Non Prevailing Wage,5,0,5,16
SUNNYSIDE POINT,Queens,11104,235,Non Prevailing Wage,3,0,3,10
915 DAWSON STREET APARTMENTS,Bronx,10459,87,Non Prevailing Wage,9,0,9,29
1764 UNION STREET APARTMENTS,Brooklyn,11213,349,Non Prevailing Wage,6,0,6,17
