Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
6390,156,130,0,0,150,130,0,0
10001,12321,589,223,6090,11442,589,223,6090
10002,34909,2516,1457,19077,33546,2516,1457,19077
10003,32790,1320,218,18884,29696,1320,218,18884
10004,1883,124,12,898,1735,124,12,898
10005,3729,165,0,2312,3586,165,0,2312
10006,2067,35,26,1204,1917,35,26,1204
10007,3356,136,26,2009,3144,136,26,2009
10009,32604,1778,269,18847,30778,1778,269,18847
10010,16824,971,375,8730,15894,971,375,8730
10011,33199,1972,264,17505,31053,1972,264,17505
10012,15536,903,103,8008,14054,903,103,8008
10013,13504,652,299,6545,12105,652,299,6545
10014,21137,1009,387,11196,19265,1009,387,11196
10016,36133,2008,391,14810,34336,2008,391,14810
10017,11136,333,242,3480,10278,333,242,3480
10018,3397,137,75,1436,3224,137,75,1436
10019,26093,1402,305,11382,24800,1402,305,11382
10020,0,0,0,0,0,0,0,0
10021,24211,2173,699,11505,21994,2173,699,11505
10022,17492,1485,218,6706,16248,1485,218,6706
10023,34099,2336,374,20153,31134,2336,374,20153
10024,34359,2382,401,23032,31704,2382,401,23032
10025,47107,2864,603,31434,42784,2864,603,31434
10026,15616,1250,304,11243,14513,1250,304,11243
10027,24248,1830,332,15201,22566,1830,332,15201
10028,27521,2270,569,16575,25986,2270,569,16575
10029,30893,2063,446,21407,30043,2063,446,21407
10030,11847,1199,492,8228,11208,1199,492,8228
10031,27311,1750,829,20693,25912,1750,829,20693
10032,26816,2402,964,17515,25241,2402,964,17515
10033,26461,2449,1522,16593,24756,2449,1522,16593
10034,19497,2091,1252,12865,18628,2091,1252,12865
10035,11814,795,204,8710,11282,795,204,8710
10036,14514,609,91,6577,13540,609,91,6577
10037,7241,894,117,5051,7086,894,117,5051
10038,10068,498,24,5329,9683,498,24,5329
10039,9049,791,346,6651,8691,791,346,6651
10040,18285,1735,1007,12719,17689,1735,1007,12719
10044,5097,289,66,3850,4904,289,66,3850
10065,18852,996,294,7677,17320,996,294,7677
10069,3010,316,152,1544,2809,316,152,1544
10075,14465,1028,259,8689,13178,1028,259,8689
10103,0,0,0,0,0,0,0,0
10110,3,0,0,1,2,0,0,1
10111,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0
10128,34470,2829,633,22839,32401,2829,633,22839
10152,0,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0
10162,789,88,0,317,753,88,0,317
10165,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0
10280,5228,372,0,2551,4980,372,0,2551
10282,2478,176,0,1520,2392,176,0,1520
10301,16757,6890,1163,6551,16021,6890,1163,6551
10302,6810,3575,341,2298,6743,3575,341,2298
10303,10010,5003,776,3598,9810,5003,776,3598
10304,17857,7901,1053,7689,17455,7901,1053,7689
10305,16906,8159,1770,5843,16566,8159,1770,5843
