Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
67358,CONFIDENTIAL,06/29/2018,,,----,----,Queens,,,,QN-09,30,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2
67359,CONFIDENTIAL,06/29/2018,,,----,----,Queens,,,,QN-03,21,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2
67362,CONFIDENTIAL,06/29/2018,,,----,----,Staten Island,,,,SI-01,49,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
67365,CONFIDENTIAL,06/29/2018,,,----,----,Brooklyn,,,,BK-17,41,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4
67373,CONFIDENTIAL,06/29/2018,,,----,----,Brooklyn,,,,BK-16,41,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2
67376,CONFIDENTIAL,06/29/2018,,,----,----,Staten Island,,,,SI-01,49,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2
67379,CONFIDENTIAL,06/29/2018,,,----,----,Staten Island,,,,SI-01,49,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2
67380,CONFIDENTIAL,06/29/2018,,,----,----,Brooklyn,,,,BK-02,35,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
67382,CONFIDENTIAL,06/29/2018,,,----,----,Bronx,,,,BX-09,18,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2
67384,CONFIDENTIAL,06/29/2018,,,----,----,Bronx,,,,BX-05,14,,,,,,,,Preservation,No,Non Prevailing Wage,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3
67385,CONFIDENTIAL,06/29/2018,,,----,----,Bronx,,,,BX-09,18,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2
67389,CONFIDENTIAL,06/29/2018,,,----,----,Bronx,,,,BX-12,12,,,,,,,,Preservation,No,Non Prevailing Wage,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
67400,CONFIDENTIAL,06/29/2018,,,----,----,Brooklyn,,,,BK-18,46,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2
67413,CONFIDENTIAL,06/29/2018,,,----,----,Brooklyn,,,,BK-08,36,,,,,,,,Preservation,No,Non Prevailing Wage,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2
67457,LAKEVIEW APARTMENTS HDFC.HPO.FY19,09/28/2018,09/28/2018,2511,1250,5 AVENUE,Manhattan,10029,1016120001,1051514,MN-11,9,17401,MN33,40.794384,-73.951027,40.79429,-73.95002,09/28/2018,Preservation,Yes,Non Prevailing Wage,0,46,13,0,0,0,0,9,18,0,32,0,0,0,59,0,59,59
