Zipcode,Estimated Commute Time in Minutes
601,28.7
602,20.9
603,20.3
606,34.9
610,26.4
612,25.4
616,24.8
617,24.7
622,24.4
623,22.5
624,27.8
627,28.6
631,13.5
637,26.2
638,30.8
641,27.9
646,35.0
647,26.0
650,27.6
652,24.1
653,26.1
656,26.7
659,26.5
660,19.4
662,25.2
664,22.3
667,25.4
669,28.8
670,27.3
674,39.3
676,26.0
677,24.4
678,28.6
680,21.4
682,20.9
683,26.2
685,26.2
687,35.8
688,32.2
690,20.0
692,33.9
693,31.9
694,
698,24.6
703,30.3
704,27.7
705,24.3
707,24.8
714,23.0
715,20.1
716,21.6
717,18.3
718,33.3
719,33.8
720,32.1
723,30.1
725,31.1
727,33.5
728,24.5
729,37.7
730,21.4
731,26.4
735,25.1
736,28.0
738,30.1
739,31.4
740,20.1
741,26.8
745,40.1
751,26.2
754,32.7
757,27.4
765,13.5
766,27.1
767,29.4
769,25.3
771,25.6
772,36.8
773,31.1
775,9.4
777,34.1
778,33.1
780,27.0
782,30.8
783,32.8
784,22.4
786,
791,28.0
794,30.7
795,27.3
901,18.9
906,
907,19.7
909,26.6
911,20.5
912,25.8
913,24.5
915,28.9
917,24.2
918,19.9
920,22.5
921,23.5
923,26.4
924,30.4
925,27.2
926,28.1
927,21.4
934,
936,
949,34.7
950,
951,
952,30.9
953,39.9
956,38.3
957,36.9
959,33.6
960,
961,34.0
962,29.1
965,25.0
966,23.1
968,21.0
969,26.7
971,25.7
976,34.3
979,24.1
982,30.5
983,32.4
985,34.4
987,36.0
1001,20.1
1002,19.8
1003,15.1
1005,34.8
1007,26.8
1008,33.3
1009,26.9
1010,33.0
1011,35.7
1012,33.6
1013,19.9
1020,21.4
1022,23.6
1026,33.9
1027,22.2
1028,22.6
1029,28.8
1030,23.4
1031,44.1
1032,29.7
1033,25.2
1034,31.3
1035,18.4
1036,24.3
1037,30.5
1038,24.2
1039,23.1
1040,19.1
1050,35.3
1053,23.9
1054,24.5
1056,22.7
1057,30.0
1060,20.7
1062,21.3
1063,8.1
1066,
1068,35.0
1069,26.3
1070,36.9
1071,30.6
1072,27.8
