zipcode,ziptype,postalcity,zcta5,bcode
10001,ZIP Code area,New York,10001,36061
10002,ZIP Code area,New York,10002,36061
10003,ZIP Code area,New York,10003,36061
10004,ZIP Code area,New York,10004,36061
10005,ZIP Code area,New York,10005,36061
10006,ZIP Code area,New York,10006,36061
10007,ZIP Code area,New York,10007,36061
10008,Post Office or large volume customer,New York,10007,36061
10009,ZIP Code area,New York,10009,36061
10010,ZIP Code area,New York,10010,36061
10011,ZIP Code area,New York,10011,36061
10012,ZIP Code area,New York,10012,36061
10013,ZIP Code area,New York,10013,36061
10014,ZIP Code area,New York,10014,36061
10016,ZIP Code area,New York,10016,36061
10017,ZIP Code area,New York,10017,36061
10018,ZIP Code area,New York,10018,36061
10019,ZIP Code area,New York,10019,36061
10020,ZIP Code area,New York,10020,36061
10021,ZIP Code area,New York,10021,36061
10022,ZIP Code area,New York,10022,36061
10023,ZIP Code area,New York,10023,36061
10024,ZIP Code area,New York,10024,36061
10025,ZIP Code area,New York,10025,36061
10026,ZIP Code area,New York,10026,36061
10027,ZIP Code area,New York,10027,36061
10028,ZIP Code area,New York,10028,36061
10029,ZIP Code area,New York,10029,36061
10030,ZIP Code area,New York,10030,36061
10031,ZIP Code area,New York,10031,36061
10032,ZIP Code area,New York,10032,36061
10033,ZIP Code area,New York,10033,36061
10034,ZIP Code area,New York,10034,36061
10035,ZIP Code area,New York,10035,36061
10036,ZIP Code area,New York,10036,36061
10037,ZIP Code area,New York,10037,36061
10038,ZIP Code area,New York,10038,36061
10039,ZIP Code area,New York,10039,36061
10040,ZIP Code area,New York,10040,36061
10041,Post Office or large volume customer,New York,10004,36061
10043,Post Office or large volume customer,New York,10005,36061
10044,ZIP Code area,New York,10044,36061
10045,Post Office or large volume customer,New York,10004,36061
10055,Post Office or large volume customer,New York,10022,36061
10060,Post Office or large volume customer,New York,10199,36061
10065,ZIP Code area,New York,10065,36061
10069,ZIP Code area,New York,10069,36061
10075,ZIP Code area,New York,10075,36061
10080,Post Office or large volume customer,New York,10282,36061
