"Header";"Name"
"GEO.id_income";"Id"
"GEO.id2_income";"Id2"
"GEO.display-label_income";"Geography"
"HC01_EST_VC01_income";"Total; Estimate; Population 16 years and over with earnings"
"HC01_MOE_VC01_income";"Total; Margin of Error; Population 16 years and over with earnings"
"HC02_EST_VC01_income";"Male; Estimate; Population 16 years and over with earnings"
"HC02_MOE_VC01_income";"Male; Margin of Error; Population 16 years and over with earnings"
"HC03_EST_VC01_income";"Female; Estimate; Population 16 years and over with earnings"
"HC03_MOE_VC01_income";"Female; Margin of Error; Population 16 years and over with earnings"
"HC01_EST_VC02_income";"Total; Estimate; Median earnings (dollars)"
"HC01_MOE_VC02_income";"Total; Margin of Error; Median earnings (dollars)"
"HC02_EST_VC02_income";"Male; Estimate; Median earnings (dollars)"
"HC02_MOE_VC02_income";"Male; Margin of Error; Median earnings (dollars)"
"HC03_EST_VC02_income";"Female; Estimate; Median earnings (dollars)"
"HC03_MOE_VC02_income";"Female; Margin of Error; Median earnings (dollars)"
"HC01_EST_VC04_income";"Total; Estimate; Full-time, year-round workers with earnings"
"HC01_MOE_VC04_income";"Total; Margin of Error; Full-time, year-round workers with earnings"
"HC02_EST_VC04_income";"Male; Estimate; Full-time, year-round workers with earnings"
"HC02_MOE_VC04_income";"Male; Margin of Error; Full-time, year-round workers with earnings"
"HC03_EST_VC04_income";"Female; Estimate; Full-time, year-round workers with earnings"
"HC03_MOE_VC04_income";"Female; Margin of Error; Full-time, year-round workers with earnings"
"HC01_EST_VC05_income";"Total; Estimate; $1 to $9,999 or loss"
"HC01_MOE_VC05_income";"Total; Margin of Error; $1 to $9,999 or loss"
"HC02_EST_VC05_income";"Male; Estimate; $1 to $9,999 or loss"
"HC02_MOE_VC05_income";"Male; Margin of Error; $1 to $9,999 or loss"
"HC03_EST_VC05_income";"Female; Estimate; $1 to $9,999 or loss"
"HC03_MOE_VC05_income";"Female; Margin of Error; $1 to $9,999 or loss"
"HC01_EST_VC06_income";"Total; Estimate; $10,000 to $14,999"
"HC01_MOE_VC06_income";"Total; Margin of Error; $10,000 to $14,999"
"HC02_EST_VC06_income";"Male; Estimate; $10,000 to $14,999"
"HC02_MOE_VC06_income";"Male; Margin of Error; $10,000 to $14,999"
"HC03_EST_VC06_income";"Female; Estimate; $10,000 to $14,999"
"HC03_MOE_VC06_income";"Female; Margin of Error; $10,000 to $14,999"
"HC01_EST_VC07_income";"Total; Estimate; $15,000 to $24,999"
"HC01_MOE_VC07_income";"Total; Margin of Error; $15,000 to $24,999"
"HC02_EST_VC07_income";"Male; Estimate; $15,000 to $24,999"
"HC02_MOE_VC07_income";"Male; Margin of Error; $15,000 to $24,999"
"HC03_EST_VC07_income";"Female; Estimate; $15,000 to $24,999"
"HC03_MOE_VC07_income";"Female; Margin of Error; $15,000 to $24,999"
"HC01_EST_VC08_income";"Total; Estimate; $25,000 to $34,999"
"HC01_MOE_VC08_income";"Total; Margin of Error; $25,000 to $34,999"
"HC02_EST_VC08_income";"Male; Estimate; $25,000 to $34,999"
"HC02_MOE_VC08_income";"Male; Margin of Error; $25,000 to $34,999"
"HC03_EST_VC08_income";"Female; Estimate; $25,000 to $34,999"
"HC03_MOE_VC08_income";"Female; Margin of Error; $25,000 to $34,999"
"HC01_EST_VC09_income";"Total; Estimate; $35,000 to $49,999"
"HC01_MOE_VC09_income";"Total; Margin of Error; $35,000 to $49,999"
"HC02_EST_VC09_income";"Male; Estimate; $35,000 to $49,999"
"HC02_MOE_VC09_income";"Male; Margin of Error; $35,000 to $49,999"
"HC03_EST_VC09_income";"Female; Estimate; $35,000 to $49,999"
"HC03_MOE_VC09_income";"Female; Margin of Error; $35,000 to $49,999"
"HC01_EST_VC10_income";"Total; Estimate; $50,000 to $64,999"
"HC01_MOE_VC10_income";"Total; Margin of Error; $50,000 to $64,999"
"HC02_EST_VC10_income";"Male; Estimate; $50,000 to $64,999"
"HC02_MOE_VC10_income";"Male; Margin of Error; $50,000 to $64,999"
"HC03_EST_VC10_income";"Female; Estimate; $50,000 to $64,999"
"HC03_MOE_VC10_income";"Female; Margin of Error; $50,000 to $64,999"
"HC01_EST_VC11_income";"Total; Estimate; $65,000 to $74,999"
"HC01_MOE_VC11_income";"Total; Margin of Error; $65,000 to $74,999"
"HC02_EST_VC11_income";"Male; Estimate; $65,000 to $74,999"
"HC02_MOE_VC11_income";"Male; Margin of Error; $65,000 to $74,999"
"HC03_EST_VC11_income";"Female; Estimate; $65,000 to $74,999"
"HC03_MOE_VC11_income";"Female; Margin of Error; $65,000 to $74,999"
"HC01_EST_VC12_income";"Total; Estimate; $75,000 to $99,999"
"HC01_MOE_VC12_income";"Total; Margin of Error; $75,000 to $99,999"
"HC02_EST_VC12_income";"Male; Estimate; $75,000 to $99,999"
"HC02_MOE_VC12_income";"Male; Margin of Error; $75,000 to $99,999"
"HC03_EST_VC12_income";"Female; Estimate; $75,000 to $99,999"
"HC03_MOE_VC12_income";"Female; Margin of Error; $75,000 to $99,999"
"HC01_EST_VC13_income";"Total; Estimate; $100,000 or more"
"HC01_MOE_VC13_income";"Total; Margin of Error; $100,000 or more"
